,equities_list
0,SRDX
1,MHNC
2,RGA
3,VYGR
4,CPAH
5,RMR
6,UE
7,ASND
8,RCS
9,NIM
10,STG
11,CRVL
12,NGD
13,AQB
14,AGNCN
15,VNE
16,LACQU
17,EIDX
18,JSM
19,TER
20,CKH
21,VRSN
22,MEC
23,BTE
24,SAIL
25,NFG
26,ELC
27,KTOS
28,SAGE
29,NUE
30,PRO
31,BIS
32,CMT
33,GLQ
34,BEAT
35,HRB
36,JBLU
37,SRTS
38,GRX
39,CORR
40,CLPR
41,MWA
42,IVR
43,DLHC
44,ENIC
45,VSAT
46,AMH
47,PSC
48,TPVG
49,GF
50,PAI
51,VYMI
52,OIBR.C
53,WSR
54,PFGC
55,FFHL
56,PCRX
57,GDS
58,BBD
59,PMO
60,VITL
61,WIFI
62,GRMN
63,RVLV
64,ETJ
65,CTSH
66,PPR
67,MMC
68,AEGN
69,GXGXU
70,LBRT
71,FPXI
72,DHCNL
73,PHI
74,STPK.U
75,SYX
76,TRVN
77,FARM
78,KEP
79,WINT
80,ALACW
81,DLNG
82,CHI
83,ARLP
84,BAM
85,FLIR
86,PLRX
87,NZF
88,CALX
89,NM
90,IPOC
91,SPG
92,SCA
93,KYN
94,BIO
95,LKQ
96,UMH
97,BAK
98,HWKN
99,ELS
100,SYNC
101,SEED
102,HHT
103,EAB
104,MFGP
105,BANC
106,GDDY
107,FV
108,NWG
109,BCS
110,GRCY
111,AEF
112,WWR
113,EVRG
114,TDA
115,BSM
116,CII
117,WOW
118,ISR
119,COFS
120,BSTC
121,MESA
122,WORK
123,NJV
124,CLUB
125,BDL
126,BEDU
127,BY
128,IBTK
129,MITT
130,PAC
131,ALEX
132,DSM
133,EZPW
134,PEGA
135,FEX
136,TRHC
137,NWS
138,UTI
139,MXL
140,DSX
141,CNET
142,MTOR
143,MTN
144,PDD
145,CRWS
146,MSA
147,HPKEW
148,PERI
149,TYHT
150,THCB
151,CCZ
152,OBCI
153,ORBC
154,CELC
155,NSL
156,WUBA
157,MEIP
158,SIFY
159,CHWY
160,GNLN
161,GKOS
162,HMST
163,CHCI
164,DWMC
165,CADE
166,TBK
167,CRESY
168,AFIN
169,AGI
170,SHG
171,LH
172,CSWCL
173,UNIT
174,MCR
175,FSDC
176,OFSSL
177,CVEO
178,LMNL
179,PAG
180,URI
181,VMW
182,PGRE
183,AWP
184,MYC
185,FIX
186,IXUS
187,HUBG
188,CRT
189,MUFG
190,ROBO
191,RDIB
192,JCOM
193,ESLT
194,TEAF
195,RYN
196,BKTI
197,RFL
198,MZA
199,RICK
200,WHF
201,GHY
202,MYL
203,BOCH
204,DRD
205,LEN
206,BANX
207,GFY
208,INTG
209,EXPCU
210,BSJQ
211,ASH
212,SCVX
213,NMM
214,SAR
215,EVFM
216,ITW
217,INSI
218,ATEST.A
219,STRT
220,ANET
221,FCO
222,UGP
223,NDP
224,SGLBW
225,EIX
226,AWX
227,MFAC.U
228,INS
229,ADSK
230,SBOW
231,MLHR
232,SNDR
233,CMP
234,CHKP
235,PMF
236,VAR
237,AEO
238,CCIV.U
239,MLVF
240,WSFS
241,HFWA
242,IIIV
243,ENZ
244,JELD
245,DTQ
246,AIQ
247,NIQ
248,RMG
249,RLI
250,DOGZ
251,TLC
252,CEA
253,CASY
254,BCLI
255,MTC
256,LUNG
257,ANGO
258,FORM
259,TRT
260,NOVSU
261,MYOS
262,PSAC
263,EMKR
264,TATT
265,LYRA
266,QTEC
267,NXC
268,KYMR
269,FMTX
270,TELL
271,GBCI
272,PCK
273,NHTC
274,OPRX
275,BTI
276,LFAC
277,KOSS
278,MRUS
279,FCRW
280,OPINL
281,ITOS
282,LNTH
283,NTIC
284,BELFB
285,PSCC
286,AIF
287,ROCH
288,ETR
289,ACEVU
290,TJX
291,SAQN
292,EPSN
293,TWNK
294,RGT
295,WATT
296,EOG
297,INMB
298,BNFT
299,CP
300,RNDV
301,MOV
302,RMTI
303,PCN
304,MCN
305,FOX
306,JBHT
307,ALTM
308,CHPMW
309,EXPE
310,HSC
311,HTBX
312,FST.U
313,PKI
314,PODD
315,MCO
316,JBK
317,GNE
318,ADSW
319,ANIP
320,SWBI
321,GAINL
322,SAMA
323,VVR
324,FWONK
325,XRX
326,NTCO
327,MODN
328,WHG
329,AKO.A
330,JG
331,QUAD
332,RCII
333,PSACU
334,CCXX.U
335,CCX
336,GECCN
337,EL
338,UGI
339,FELE
340,KMT
341,DGX
342,GRPN
343,PGR
344,OXSQ
345,ALLT
346,PINE
347,FBRX
348,UVSP
349,AINC
350,HOPE
351,HCAT
352,AUTL
353,ETO
354,ZI
355,VEC
356,CBRE
357,BVN
358,SSB
359,TTEK
360,DMS.WS
361,HEBT
362,DLB
363,SNOA
364,PMBC
365,JHY
366,CCC
367,KMDA
368,PBHC
369,JFKKW
370,SECO
371,AMRK
372,SHO
373,VETS
374,CSGS
375,COF
376,MRO
377,FMAX
378,INCY
379,CIR
380,SBGI
381,DGICA
382,VCIF
383,CCXI
384,WHLM
385,JAGX
386,AVB
387,CTEST.S
388,TRIP
389,BGCP
390,TEF
391,VIRC
392,GEOS
393,HEI
394,OFC
395,SPGI
396,VIACA
397,ITI
398,CMCM
399,COKE
400,ALPN
401,AEB
402,MORF
403,CPRX
404,DVD
405,HRTX
406,IRBT
407,BSCK
408,UEPS
409,ARMP
410,ANDE
411,KMPR
412,FMK
